organization,family,name,access,model_size,price_per_2k_images,release_date,vram_requirements,Overall,Spatial,Depth,Condition,Detection,Interaction,Color,Puzzle
Google,Gemini 1.5,Gemini 1.5 Flash,Closed,,0.08,2024-05-25,,0.6388629343629344,0.824,0.5405405405405406,0.79,0.745,0.7,0.6425,0.23
Google,Gemini 1.5,Gemini 1.5 Pro,Closed,,1.315,2024-05-25,,0.6458436293436293,0.788,0.6054054054054054,0.8375,0.825,0.38,0.755,0.33
Meta,Llama3.2,Llama 3.2 90B Vision,Open,90B,10.292,2024-09-21,175GB,0.5307683397683398,0.732,0.5783783783783784,0.655,0.47,0.48,0.58,0.22
Alibaba,Qwen2VL,Qwen2VL 2B,Open,2B,,2024-08-28,5GB,0.3746119691119691,0.476,0.1837837837837838,0.205,0.335,0.92,0.2975,0.205
Alibaba,Qwen2VL,Qwen2VL 7B,Open,7B,,2024-08-28,20GB,0.6595231660231661,0.852,0.7621621621621621,0.415,0.865,0.94,0.5425,0.24
Alibaba,Qwen2.5VL,Qwen2.5VL 3B,Open,3B,,2025-01-26,8GB,0.5893841698841699,0.854,0.5891891891891892,0.385,0.81,0.92,0.3575,0.21
Alibaba,Qwen2.5VL,Qwen2.5VL 7B,Open,7B,0.289,2025-01-26,20GB,0.7027586872586873,0.906,0.8108108108108109,0.3875,0.92,0.98,0.61,0.305
Google,Gemini 2.0,Gemini 2.0 Flash,Closed,,0.0516,2025-02-15,,0.7643359073359074,0.914,0.7513513513513513,0.92,0.885,0.74,0.845,0.295
Moondream2,Moondream2,Moondream2,Open,2B,,2024-05-22,4GB,0.41383204633204634,0.41,0.32432432432432434,0.255,0.69,0.78,0.2325,0.205
OpenGVLab,InternVL2,InternVL2 1B,Open,1B,,2024-07-08,2GB,0.3806216216216217,0.648,0.35135135135135137,0.24,0.355,0.56,0.265,0.245
HuggingFaceTB,SmolVLM,SmolVLM,Open,2B,,2024-11-26,5GB,0.4969440154440155,0.748,0.3081081081081081,0.2175,0.755,0.97,0.22,0.26
Alibaba,Qwen2.5VL,Qwen2.5VL 72B,Open,72B,1.4,2025-01-27,152GB,0.7807683397683398,0.942,0.7783783783783784,0.755,0.895,0.95,0.79,0.355
Mistral,Pixtral,Pixtral 12B,Open,12B,0.289,2024-09-24,26GB,0.5201930501930502,0.76,0.35135135135135137,0.655,0.475,0.55,0.55,0.3
Mistral,Mistral Small,Mistral Small 3.1,Open,24B,1.852,2025-03-17,50GB,0.5960289575289576,0.792,0.5027027027027027,0.6,0.72,0.76,0.5175,0.28
